grupo,Código
Chapas,120547
Chapas,120545
Chapas,120278
Chapas,120134
Chapas,120136
Chapas,120650
Chapas,120157
Chapas,120203
Chapas,120305
Chapas,120137
Rolamento,289206
Rolamento,288986
Rolamento,289024
Chapas,120110
Chapas,120202
Tintas PU,313136
Tintas PU,313134
Tintas PU,313133
Tintas PU,313135
Tintas PU,313137
Tintas PU,313131
Tintas PU,318413
Tintas PU,318139
Tintas PU,318504
Tintas PU,318346
Tintas PU,318656
Tintas PU,318280
Aço,126615
Aço,110012
Aço,112203
Tubos,134625
Tubos,134132
Aço,112150
Aço,112525
Tubos,134212
Tubos,134012
Roda,214104
Roda,214108
Roda,214105
Cubo de roda,222401
Cubo de roda,222402
Comp Naval,116631
Comp Naval,116612
Comp Naval,116627
Comp Naval,116615
Comp Naval,116623
Tubos,134066
Tubos,134060
Tubos,134017
Chapas,120200
Chapas,120303
Aço,124576
Tubos,134055
Tubos,134077
Aço,110322
Aço,110346
Aço,110358
Aço,110980
Aço,112215
Aço,112306
Aço,112410
Aço,112434
Aço,112458
Aço,112502
Comp Naval,116611
Comp Naval,116613
Comp Naval,116617
Comp Naval,116626
Comp Naval,116635
Comp Naval,116633
Comp Naval,116641
Comp Naval,116630
Comp Naval,116628
Comp Naval,116625
Chapas,120054
Chapas,120121
Chapas,120250
Chapas,120273
Chapas,120352
Chapas,120549
Chapas,120900
Aço,126202
Aço,126214
Aço,126226
Aço,126299
Aço,126329
Aço,126457
Aço,126706
Aço,126755
Aço,126901
Tubos,134018
Tubos,134030
Tubos,134031
Tubos,134062
Tubos,134107
Tubos,134144
Tubos,134157
Tubos,134170
Tubos,134172
Tubos,134223
Tubos,134224
Tubos,134375
Tubos,134387
Tubos,134388
Tubos,134430
Tubos,134716
Tubos,134789
Tubos,134855
Tubos,134892
Tubos,134910
Arruela,212091
Arruela,212092
Arruela,212093
Arruela,212300
Cubo de roda,222404
Rolamento,289220
Rolamento,289231
Tintas PÓ,318416
Tintas PÓ,318417
Tintas PÓ,318418
Tintas PÓ,318419
Roda,262728
Aço,222434
Tubos,222433
Chapas,120201
Chapas,120845
Chapas,120509
Chapas,120376
Aço,110140
Aço,110517
Aço,134690
Tubos,134339
Aço,113049
Aço,110516
Aço,110048
Aço,110670
Aço,110565
Aço,110139
Aço,110735
Aço,110747
Aço,112874
Aço,113050
Aço,112501
Aço,112604
Aço,112902
Tubos,134156
Tubos,134196
Tubos,134790
Tubos,134651
Tubos,134016
Aço,134020
Aço,134063
Aço,134019
Aço,134118
Aro,214116
Aro,214113
Aço,222438
Aço,222466
Chapas,200497
Chapas,200492
Tubos,222463
Tubos,222435
Tubos,222462
Adesivo,398041
Adesivo,398043
Adesivo,398042
Adesivo,398045
Adesivo,398031
Adesivo,398053
Adesivo,398052
Adesivo,398049
Adesivo,398030
Adesivo,398037
Adesivo,398036
Adesivo,398033
Adesivo,398040
Adesivo,398023
Adesivo,398024
Adesivo,398055
Adesivo,398027
Adesivo,398028
Adesivo,398029
Adesivo,398051
Adesivo,398048
Adesivo,398039
Tintas PÓ,318420
Tintas PÓ,318421
Chapa Agrupada,CHAPA LQ 6.00 - CHAPA LQ 6.00
Chapa Agrupada,CHAPA LQ 6.30 - CHAPA LQ 6.30
Chapa Agrupada,CHAPA LQ 2.25 - CHAPA LQ 2.25
Chapa Agrupada,CHAPA LQ 3.00 - CHAPA LQ 3.00
Chapa Agrupada,CHAPA LQ 4.75 - CHAPA LQ 4.75
Chapa Agrupada,CHAPA LQ 2.00 - CHAPA LQ 2.00
Chapa Agrupada,CHAPA LQ 2.65 - CHAPA LQ 2.65
Chapa Agrupada,CHAPA LQ 3.75 - CHAPA LQ 3.75
Chapas,120134IMP
Chapas,120136IMP
Chapas,120547IMP
Chapas,120545IMP
Chapas,120278IMP
Chapas,120305IMP
Chapas,120201IMP
Chapas,120911
Chapas,120549IMP
Chapas,120705
Aço,124060
Tubos,134715
Tubos,134118
Aço,110280
Tubos,134612
Tubos,134018NAC
Tubos,134062NAC
Tubos,134019NAC
Tubos,134017NAC
Tubos,134069
Aço,126391
Tubos,134450
Tubos,134055NAC
Tubos,134200
Aço,126184
Tubos,134031NAC
Tubos,134063NAC
Aço,126160
Aço,126380
Tubos,134020NAC
Aço,110929
Aço,126159
Aço,126263
Tubos,134338
Tubos,134510
Tubos,134128
Tubos,134063
Aço,110000
Tubos,134183
Aço,112112
Tubos,134522
Tubos,134123
Tubos,134181
Aço,299108
Aço,232300
Roda,214114
Adesivo,398046
Adesivo,398057
Adesivo,398050
Adesivo,398054
Tintas PU,313144
Chapa Agrupada,CHAPA LQ 6.00
Chapa Agrupada,CHAPA LQ 6.35
Chapa Agrupada,CHAPA LQ 2.25
Chapa Agrupada,CHAPA LQ 3.00
Chapa Agrupada,CHAPA LQ 3.75
Chapa Agrupada,CHAPA LQ 4.75
Chapa Agrupada,CHAPA LQ 2.00
Chapa Agrupada,CHAPA LQ 2.00 x 1500
Chapa Agrupada,CHAPA LQ 2.65 x 1500
Chapa Agrupada,CHAPA LQ 2.65 x 1200
