,datas_tb2,saldo atual_tb2,estoque minimo_tb2,corrigido_tb2,data corrigida_tb2,entradas_tb2,produto,grupo
0,2023-04-20,6064.94,2568.47,6064.94,2023-04-20,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
1,2023-04-24,5551.25,2568.47,5551.25,2023-04-24,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
2,2023-04-25,5037.55,2568.47,5037.55,2023-04-25,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
3,2023-04-26,4523.86,2568.47,4523.86,2023-04-26,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
4,2023-04-27,4010.16,2568.47,4010.16,2023-04-27,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
5,2023-04-28,3496.47,2568.47,3496.47,2023-04-28,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
6,2023-05-02,2982.78,2568.47,2982.78,2023-05-02,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
7,2023-05-02,11852.78,2568.47,12982.78,2023-05-02,8870,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
8,2023-05-03,11339.08,2568.47,12469.08,2023-05-03,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
9,2023-05-04,10825.39,2568.47,11955.39,2023-05-04,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
10,2023-05-05,10311.69,2568.47,11441.69,2023-05-05,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
11,2023-05-08,9798.0,2568.47,10928.0,2023-05-08,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
12,2023-05-09,9284.31,2568.47,10414.31,2023-05-09,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
13,2023-05-10,8770.61,2568.47,9900.61,2023-05-10,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
14,2023-05-11,8256.92,2568.47,9386.92,2023-05-11,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
15,2023-05-12,7743.22,2568.47,8873.22,2023-05-12,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
16,2023-05-15,7229.53,2568.47,8359.53,2023-05-15,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
17,2023-05-16,6715.84,2568.47,7845.84,2023-05-16,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
18,2023-05-17,6202.14,2568.47,7332.14,2023-05-17,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
19,2023-05-18,5688.45,2568.47,6818.45,2023-05-18,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
20,2023-05-19,5174.75,2568.47,6304.75,2023-05-19,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
21,2023-05-22,4661.06,2568.47,5791.06,2023-05-22,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
22,2023-05-23,4147.37,2568.47,5277.37,2023-05-23,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
23,2023-05-24,3633.67,2568.47,4763.67,2023-05-24,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
24,2023-05-25,3119.98,2568.47,4249.98,2023-05-25,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
25,2023-05-26,2606.28,2568.47,3736.28,2023-05-26,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
26,2023-05-29,2092.59,2568.47,3222.59,2023-05-29,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
27,2023-05-30,1578.9,2568.47,2708.9,2023-05-30,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
28,2023-05-31,1065.2,2568.47,12708.9,2023-05-30,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
29,2023-06-01,551.51,2568.47,12195.2,2023-05-31,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
30,2023-06-02,37.81,2568.47,11681.51,2023-06-01,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
31,2023-06-05,-475.88,2568.47,11167.81,2023-06-02,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
32,2023-06-06,-989.57,2568.47,10654.12,2023-06-05,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
33,2023-06-07,-1503.27,2568.47,10140.43,2023-06-06,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
34,2023-06-08,-2016.96,2568.47,9626.73,2023-06-07,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
35,2023-06-09,-2530.66,2568.47,9113.04,2023-06-08,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
36,2023-06-12,-3044.35,2568.47,8599.34,2023-06-09,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
37,2023-06-13,-3558.04,2568.47,8085.65,2023-06-12,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
38,2023-06-14,-4071.74,2568.47,7571.96,2023-06-13,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
39,2023-06-15,-4585.43,2568.47,7058.26,2023-06-14,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
40,2023-06-16,-5099.13,2568.47,6544.57,2023-06-15,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
41,2023-06-19,-5612.82,2568.47,6030.87,2023-06-16,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
42,2023-06-20,-6126.51,2568.47,5517.18,2023-06-19,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
43,2023-06-21,-6640.21,2568.47,5003.49,2023-06-20,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
44,2023-06-22,-7153.9,2568.47,4489.79,2023-06-21,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
45,2023-06-23,-7667.6,2568.47,3976.1,2023-06-22,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
46,2023-06-26,-8181.29,2568.47,3462.4,2023-06-23,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
47,2023-06-27,-8694.98,2568.47,2948.71,2023-06-26,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
48,2023-06-28,-9208.68,2568.47,12948.71,2023-06-26,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
49,2023-06-29,-9722.37,2568.47,12435.02,2023-06-27,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
50,2023-06-30,-10236.07,2568.47,11921.32,2023-06-28,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
51,2023-07-03,-10749.76,2568.47,11407.63,2023-06-29,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
52,2023-07-04,-11263.45,2568.47,10893.93,2023-06-30,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
53,2023-07-05,-11777.15,2568.47,10380.24,2023-07-03,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
54,2023-07-06,-12290.84,2568.47,9866.55,2023-07-04,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
55,2023-07-07,-12804.54,2568.47,9352.85,2023-07-05,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
56,2023-07-10,-13318.23,2568.47,8839.16,2023-07-06,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
57,2023-07-11,-13831.92,2568.47,8325.46,2023-07-07,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
58,2023-07-12,-14345.62,2568.47,7811.77,2023-07-10,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
59,2023-07-13,-14859.31,2568.47,7298.08,2023-07-11,,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,Chapas
