"=""Recurso""";"=""Quantidade#Saída"""
"=""213602 - ABRACADEIRA P/ MANGOTE MS 5462""";"-2"
"=""126457 - AÇO CHATO LAM 3/8 X 2 SAE-1020""";"-45,6"
"=""110346 - ACO LAMINADO RED 2        1020""";"-440,4"
"=""112215 - ACO TREF. RED. SAE-1020 - 1""""""";"-27,8"
"=""112434 - ACO TREF. RED. SAE-1020 - 3/4""""""";"-117,7"
"=""112525 - ACO TREF. RED. SAE-1020 - 5/8""""""";"-18,6"
"=""112150 - ACO TREF. RED. SAE-1045 - 1""""""";"-212,7"
"=""112306 - ACO TREF. RED. SAE-1045 - 1.1/4""""""";"-232,4"
"=""209916 - ADAPTADOR ENGATE FEMEA 2"""" X ROSCA INTERNA 1.1/2"""" BSP""";"-1"
"=""209915 - ADAPTADOR ENGATE MACHO COM ESCAMA 2""""""";"-1"
"=""350023 - ANTI-RESPINGO DE SOLDA LIQUIDO SPATTER OFF""";"-75"
"=""212301 - ARR. DE PRES. MÉDIA - ZB 1/2""""""";"-1000"
"=""212507 - ARR. DE PRES. MÉDIA - ZB 1/4""""""";"-4"
"=""212258 - ARR. DE PRES. MÉDIA - ZB 3/4""""""";"-500"
"=""212092 - ARRUELA LISA 1/2"""" CHAPA 1/8"""" ZB OU ZA""";"-1000"
"=""212098 - ARRUELA LISA 1/4"""" GALV""";"-4"
"=""212093 - ARRUELA LISA 3/4"""" CHAPA 3,75MM""";"-600"
"=""212097 - ARRUELA LISA 5/8"""" GALV # 1/8""""""";"-200"
"=""120134 - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300""";"-6524,306"
"=""120137 - BOBINA CHAPA LQ 2.00 X 1,50 A36/CIVIL300""";"-1156,31"
"=""120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300""";"-2358,72"
"=""120549 - BOBINA CHAPA LQ 2.65 X 1200 A36/CIVIL300""";"-1477,63"
"=""120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300""";"-2649,84"
"=""120545 - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300""";"-2292,86"
"=""120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300""";"-5455,6"
"=""120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300""";"-8834,76"
"=""120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010""";"-5697,4"
"=""318167 - BONDERIT M-FE 564""";
"=""318168 - BONDERITE C-IC 3995""";"-20"
"=""299108 - CABO DE ACO 3/16"""" GALV. 6X7 + AF.""";"-52,4"
"=""218455 - CAMARA AR 750X16 (16"""" L430)""";"-68"
"=""200478 - CANHÃO MONITOR C/ ESGUICHO MANUAL 1.1/2'""";"-1"
"=""313210 - CATALISADOR PU 1/1 5058 COMP B""";"-52"
"=""120352 - CHAPA GQ   1/2 (12,7)     1010""";"-693,81"
"=""120157 - CHAPA GQ   3/8 (9,53)     1010""";"-1303,32"
"=""120650 - CHAPA GQ   5/16(7,94)     1010""";"-2462,33"
"=""120054 - CHAPA GQ   5/8 (15,8)     1010""";"-222,89"
"=""240485 - CIL. COMPL. CBHM / 6000 CÓD.4403-03""";"-22"
"=""240640 - CIL. COMPL. CBHM/CBH CÓD. 4.1/2"""" x 2"""" x 335 mm""";"-8"
"=""240474 - CIL. COMPL. CBHM/CBH CÓD.4403-01""";"-26"
"=""240471 - CILINDRO TELESCÓPICO CBH 6T 10 OC NV""";"-2"
"=""116611 - COMP. NAVAL SOMASSOALHO 3090 X 1795 X 20MM""";"-2"
"=""222150 - CONTRA PINO  1/4  X 2.1/2""";"-250"
"=""222197 - CONTRA PINO  1/8  X 1""";"-30"
"=""222148 - CONTRA PINO  3/16 X 1.1/2""";"-500"
"=""222252 - CONTRA PINO  3/16 X 2""";"-500"
"=""222859 - CONTRA PINO  3/16 X 3""";"-30"
"=""222401 - CUBO RODA F. FUND. NOD. GGG-50"""" F6""";"-210"
"=""222402 - CUBO RODA F. FUND. NOD. GGG-50"""" FA4/CBHM""";"-216"
"=""209911 - ENGATE RÁPIDO C2 COM ESCAMA 050030005""";"-1"
"=""313134 - ESM. PU ACRILICO AMARELO""";
"=""313131 - ESM. PU ACRILICO LARANJA""";"-193,73"
"=""313136 - ESM. PU ACRILICO VERDE""";"-36,92"
"=""313133 - ESM. PU ACRILICO VERMELHO""";"-73,84"
"=""313137 - ESM. PU CINZA OPALESCENTE""";"-73,92"
"=""318280 - ESM. SINT. CINZA OPALESCENTE""";"-25,2"
"=""318413 - ESM. SINT. LARANJA""";"-7,2"
"=""318504 - ESM. SINT. VERDE J. DEERE""";
"=""318346 - ESM. SINT. VERMELHO M.F.""";"-14,4"
"=""497872 - FITA ADESIVA USO GERAL 3M C/ 100 MTS""";"-30"
"=""313211 - FITA CREPE 36x50 P/PINTURA""";"-1"
"=""497885 - FITA MET.P/EMB. - 1mm X 1''""";
"=""497874 - FITILHO""";"-3"
"=""222356 - GRAMPO R 4,5 X 80 ZB""";"-400"
"=""802013 - GRAXA LUBRIFICANTE""";"-36"
"=""234205 - GRAXEIRO 1/4 UNF       RETO""";
"=""200391 - KIT BOMBA MULTI-FLEX SEMI-COMPLETO (SEM GAIOLA)""";"-1"
"=""292023 - LUVA SIMPLES GALV 2"""" BSP""";"-4"
"=""298876 - MACHO  ENG RÁPIDO DE 1/2"""" C/PROTETOR""";"-91"
"=""400025 - MAD. BARROTE P/EMBALAGEM 0.045X0.05X3.0M""";"-70"
"=""497851 - MAD. P/ EMB. PINOS 3,0 x 0,10 x 0,023m.""";"-350"
"=""240217 - MANG A/P SAE-100 3/8"""" x 1400mm.""";"-30"
"=""240234 - MANG A/P SAE-100 3/8"""" X 2800 C/ TERM. RETO JIC 3/4"""" UNF FEMEA""";"-48"
"=""240233 - MANG A/P SAE-100 3/8"""" X 400 TERM. 90° JIC 3/4""""FEMEA X RETO JIC 3/4"""" UNF FEMEA""";"-2"
"=""240229 - MANG A/P SAE-100 3/8"""" x 400mm""";"-60"
"=""240235 - MANG DE SUCÇÃO AZUL 2""""""";"-16,4"
"=""497820 - MANTA FILMA POLIET. 2mm. X 1,20 MT.""";"-900"
"=""238406 - MOLA - COMPL GUIA DO ÊMBOLO - CARR MELÃO 025086""";"-50"
"=""256328 - PARAF FRANC 5/16X1.1/2 C/PO.SX.""";"-35"
"=""255464 - PARAF RODA 1/2 X 1.3/4"""" CF. DES.""";"-323"
"=""255452 - PARAF RODA 5/8-18Fx2.3/32 - 216R""";"-600"
"=""260101 - PARAF SEX   1/2 X 1.1/2  UNC ZB""";"-100"
"=""258155 - PARAF SEX   1/2 X 3.1/2  UNC  ZB""";"-400"
"=""258829 - PARAF SEX   1/4 X 3/4    UNF""";"-4"
"=""258234 - PARAF SEX   3/4 X 2   UNC ZB""";"-200"
"=""258003 - PARAF SEX   3/8 X 1.1/4   UNC ZB""";"-14"
"=""222326 - PINO ELÁSTICO 4 X 26MM""";"-90"
"=""222217 - PINO TRAVA BUSSAL 3/8 X 2.1/4"""" C/ARGOLA""";"-1"
"=""222185 - PINO TRAVA C/ ARG. 3/8"""" X 2"""" - ZA.""";"-500"
"=""268150 - PNEU 7.50-16 IMPL (16TT 10PR RA45)""";"-68"
"=""272504 - PORCA CAST 1.1/2 S/COROA - UNC ZB""";"-30"
"=""272401 - PORCA CAST.  DE 1"""" UNS-14 FIOS ZB""";"-200"
"=""273405 - PORCA CÔN. 1/2"""" UNF - CH-13/16"""" ZB""";"-200"
"=""273600 - PORCA CON. 5/8"""" UNF CH-1.1/16"""" ZB""";"-600"
"=""274124 - PORCA SEX     1/2   UNC  ZB""";"-400"
"=""274203 - PORCA SEX     3/4""""   UNC  ZB""";"-200"
"=""313132 - REDUTOR PARA PU""";"-160"
"=""214105 - RODA 6 FUROS RD (PARAF. 5/8)""";"-56"
"=""214104 - RODA 6 FUROS RS (PARAF. 1/2)""";"-108"
"=""214108 - RODA 6 FUROS TANDEM (PARAF. 5/8)""";"-8"
"=""288986 - ROLAMENTO 30207 SPZ/ZWZ/GBR/1ª L""";"-130"
"=""289024 - ROLAMENTO 30208 SPZ/ZWZ/GBR/1ª L""";"-40"
"=""289206 - ROLAMENTO 30210 SPZ/ZWZ/GBR/1ª L""";"-118"
"=""497952 - SACO PLASTICO 40 X 60 X 0.10""";"-250"
"=""497968 - SACO PLASTICO P/ DES. 34X24X0,20""";"-400"
"=""497897 - SELO DE AÇO POLIDO TR 25X60X0,90""";
"=""350991 - SILICONE ULTRA 598 BLACK 70GR""";"-1"
"=""350622 - SKYLACK THINNER PU TH700""";"-220"
"=""117112 - TARUGO NYLON RED. DE 35mm.""";"-4"
"=""240651 - TERM FEMEA JIC MANG 3/8 X 3/4""";
"=""240473 - TERMINAL MACHO - CIL. CBH's""";"-200"
"=""318420 - TINTA PÓ 26 LI AMAR CEMAG BR CÓD. WEG 13215960""";
"=""318416 - TINTA PÓ 26 LI LARANJA W RAL 2002 BR""";
"=""318419 - TINTA PÓ 26 R LI AZUL CEMAG BR CÓD. WEG CDP 13505""";"-75"
"=""318418 - TINTA PÓ 27 W VERMELHA W81400 CÓD. WEG 10005853""";"-100"
"=""134855 - TUBO     1           DIN 2440""";"-8,8"
"=""134375 - TUBO     1/2       DIN 2440""";"-300"
"=""497822 - TUBO EPE DIAM. 30 X 3MM X 1,6M CÓD.T30.3.1,6D30""";"-240"
"=""134157 - TUBO MECANICO  50 X  32  ST-52""";"-96,1"
"=""134716 - TUBO MECANICO  56 X  28  ST-52""";"-23,2"
"=""134224 - TUBO MECANICO  71 X  43  ST-52""";"-58,8"
"=""134055NAC - TUBO QUADRADO 120 X 120 X 8.00""";"-1709,5"
"=""134060 - TUBO RET  50 X 30 X 2.00MM TAM. 6 METROS""";
"=""134062NAC - TUBO RETANGULAR 100 X 50 X 3.75 X 6300 mm""";"-1172,6"
"=""134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000""";"-2577,9"
"=""134144 - TUBO SCHEDULLE 80 - 2""""""";"-45,6"
"=""292254 - VALVULA DE GAVETA 2""""""";"-4"
"=""326409 - VERNIZ SINTÉTICO - TINGIDO""";"-38,545"
